,xrsa,xrsb
2017-09-07 09:59:00,6.8033296e-07,8.069141e-06
2017-09-07 10:00:00,4.1972643e-07,5.9673803e-06
2017-09-07 10:01:00,3.0872116e-07,4.807939e-06
2017-09-07 10:02:00,2.366404e-07,4.0074656e-06
2017-09-07 10:03:00,1.9438663e-07,3.4844147e-06
2017-09-07 10:04:00,1.6296995e-07,3.1057646e-06
2017-09-07 10:05:00,1.4734565e-07,2.861132e-06
2017-09-07 10:06:00,1.4029501e-07,2.7291906e-06
2017-09-07 10:07:00,1.3249347e-07,2.6314242e-06
2017-09-07 10:08:00,1.2849654e-07,2.585872e-06
2017-09-07 10:09:00,1.3129439e-07,2.617287e-06
2017-09-07 10:10:00,1.2981371e-07,2.611049e-06
2017-09-07 10:11:00,1.1169133e-07,2.4629624e-06
2017-09-07 10:12:00,1.179138e-07,2.485553e-06
2017-09-07 10:13:00,1.5719864e-07,2.7574174e-06
2017-09-07 10:14:00,2.0168354e-06,8.496049e-06
2017-09-07 10:15:00,3.6415302e-05,0.000109201945
2017-09-07 10:16:00,2.6075815e-05,0.000101178695
2017-09-07 10:17:00,1.6784988e-05,6.746726e-05
2017-09-07 10:18:00,9.839028e-06,4.811651e-05
2017-09-07 10:19:00,6.5570875e-06,3.6195786e-05
2017-09-07 10:20:00,5.199971e-06,3.0357623e-05
2017-09-07 10:21:00,2.4344224e-06,2.0099154e-05
2017-09-07 10:22:00,1.0207174e-06,1.1922201e-05
2017-09-07 10:23:00,4.5421953e-07,6.8319905e-06
2017-09-07 10:24:00,2.762462e-07,4.5117845e-06
2017-09-07 10:25:00,2.338698e-07,3.7630925e-06
2017-09-07 10:26:00,1.6593584e-07,3.161751e-06
2017-09-07 10:27:00,1.2881448e-07,2.8027316e-06
2017-09-07 10:28:00,1.0987455e-07,2.6140337e-06
2017-09-07 10:29:00,9.8792185e-08,2.4887975e-06
2017-09-07 10:30:00,9.221847e-08,2.403014e-06
2017-09-07 10:31:00,8.575679e-08,2.3595383e-06
2017-09-07 10:32:00,8.412169e-08,2.3178793e-06
2017-09-07 10:33:00,9.063787e-08,2.356471e-06
2017-09-07 10:34:00,1.067406e-07,2.492691e-06
2017-09-07 10:35:00,1.6374209e-07,2.8935767e-06
2017-09-07 10:36:00,2.0005044e-07,3.2287426e-06
2017-09-07 10:37:00,1.9158425e-07,3.2966686e-06
2017-09-07 10:38:00,1.7396148e-07,3.3027682e-06
2017-09-07 10:39:00,1.5938181e-07,3.2757744e-06
2017-09-07 10:40:00,1.4516853e-07,3.2244773e-06
2017-09-07 10:41:00,1.323572e-07,3.1671498e-06
2017-09-07 10:42:00,1.2495383e-07,3.1373006e-06
2017-09-07 10:43:00,1.202302e-07,3.0983672e-06
2017-09-07 10:44:00,1.1854967e-07,3.0728008e-06
2017-09-07 10:45:00,1.1477985e-07,3.0355543e-06
2017-09-07 10:46:00,1.0868304e-07,2.9718158e-06
2017-09-07 10:47:00,1.02879945e-07,2.9370524e-06
2017-09-07 10:48:00,1.3085835e-07,3.0770834e-06
2017-09-07 10:49:00,1.3285681e-07,3.1135512e-06
2017-09-07 10:50:00,1.10834414e-07,2.9822284e-06
2017-09-07 10:51:00,9.429566e-08,2.8193433e-06
2017-09-07 10:52:00,8.652892e-08,2.7028022e-06
2017-09-07 10:53:00,8.304222e-08,2.6351013e-06
2017-09-07 10:54:00,8.257742e-08,2.585223e-06
2017-09-07 10:55:00,8.684685e-08,2.5994987e-06
2017-09-07 10:56:00,1.3125049e-07,2.8428506e-06
2017-09-07 10:57:00,1.3753503e-07,2.9335438e-06
2017-09-07 10:58:00,1.1677831e-07,2.8155798e-06
2017-09-07 10:59:00,1.02425744e-07,2.7148717e-06
2017-09-07 11:00:00,8.804744e-08,2.5983436e-06
2017-09-07 11:01:00,7.994309e-08,2.5117545e-06
2017-09-07 11:02:00,8.2895355e-08,2.5173488e-06
2017-09-07 11:03:00,1.4591492e-07,2.840467e-06
2017-09-07 11:04:00,1.5007082e-07,2.9614507e-06
2017-09-07 11:05:00,1.2854197e-07,2.9040887e-06
2017-09-07 11:06:00,1.1527947e-07,2.8027316e-06
2017-09-07 11:07:00,1.019655e-07,2.675497e-06
2017-09-07 11:08:00,9.915554e-08,2.6236373e-06
2017-09-07 11:09:00,9.8973864e-08,2.619225e-06
2017-09-07 11:10:00,8.1681144e-08,2.4888236e-06
2017-09-07 11:11:00,7.281223e-08,2.3742032e-06
2017-09-07 11:12:00,6.9405765e-08,2.299321e-06
2017-09-07 11:13:00,6.631421e-08,2.2537254e-06
2017-09-07 11:14:00,6.767982e-08,2.2625936e-06
2017-09-07 11:15:00,6.559053e-08,2.2139268e-06
2017-09-07 11:16:00,6.1003156e-08,2.1478695e-06
2017-09-07 11:17:00,5.3405984e-08,2.0733246e-06
2017-09-07 11:18:00,5.137422e-08,2.0143275e-06
2017-09-07 11:19:00,5.0965443e-08,1.9546294e-06
2017-09-07 11:20:00,4.980573e-08,1.8966875e-06
2017-09-07 11:21:00,5.014789e-08,1.8604102e-06
2017-09-07 11:22:00,4.7967756e-08,1.8341949e-06
2017-09-07 11:23:00,4.5283464e-08,1.8163979e-06
2017-09-07 11:24:00,4.460671e-08,1.7869555e-06
2017-09-07 11:25:00,4.469755e-08,1.7815048e-06
2017-09-07 11:26:00,4.7059366e-08,1.8014907e-06
2017-09-07 11:27:00,4.901543e-08,1.8249286e-06
2017-09-07 11:28:00,4.560594e-08,1.820049e-06
2017-09-07 11:29:00,4.6105555e-08,1.7961373e-06
2017-09-07 11:30:00,4.6907967e-08,1.7931892e-06
2017-09-07 11:31:00,4.5060908e-08,1.785528e-06
2017-09-07 11:32:00,4.5015486e-08,1.7830621e-06
2017-09-07 11:33:00,4.5590802e-08,1.7780094e-06
2017-09-07 11:34:00,4.642349e-08,1.7970782e-06
2017-09-07 11:35:00,7.585533e-08,1.9246504e-06
2017-09-07 11:36:00,1.2994997e-07,2.2241793e-06
2017-09-07 11:37:00,1.3375309e-07,2.3989994e-06
2017-09-07 11:38:00,1.393064e-07,2.511379e-06
2017-09-07 11:39:00,1.307221e-07,2.527212e-06
2017-09-07 11:40:00,1.250598e-07,2.551048e-06
2017-09-07 11:41:00,1.2159278e-07,2.565367e-06
2017-09-07 11:42:00,1.0942035e-07,2.4765984e-06
2017-09-07 11:43:00,1.0751273e-07,2.485034e-06
2017-09-07 11:44:00,1.10614884e-07,2.5189322e-06
2017-09-07 11:45:00,1.258168e-07,2.6284392e-06
2017-09-07 11:46:00,1.3262972e-07,2.6689302e-06
2017-09-07 11:47:00,1.3327013e-07,2.7078636e-06
2017-09-07 11:48:00,1.4339415e-07,2.8372529e-06
2017-09-07 11:49:00,1.4475673e-07,2.879301e-06
2017-09-07 11:50:00,1.3915347e-07,2.8431014e-06
2017-09-07 11:51:00,1.4184988e-07,2.8449097e-06
2017-09-07 11:52:00,1.4693687e-07,2.8842326e-06
2017-09-07 11:53:00,1.508543e-07,2.9110968e-06
2017-09-07 11:54:00,1.5737427e-07,2.9558832e-06
